article,biomonitoring,biomonitoring/effect_marker,biomonitoring/effect_marker/biomarker,biomonitoring/effect_marker/biomarker/gene,biomonitoring/effect_marker/biomarker/molecule,biomonitoring/effect_marker/biomarker/molecule/lipid,biomonitoring/effect_marker/biomarker/molecule/other_molecule,biomonitoring/effect_marker/biomarker/molecule/protein,biomonitoring/effect_marker/biomarker/other,biomonitoring/effect_marker/biomarker/oxidative_stress,biomonitoring/effect_marker/physiological_parameter,biomonitoring/exposure_biomarker,biomonitoring/exposure_biomarker/adipose_tissue,biomonitoring/exposure_biomarker/blood,biomonitoring/exposure_biomarker/blood/children,biomonitoring/exposure_biomarker/blood/cord_blood,biomonitoring/exposure_biomarker/blood/pregnant_women,biomonitoring/exposure_biomarker/blood/workers,biomonitoring/exposure_biomarker/hair_nail,biomonitoring/exposure_biomarker/hair_nail/children,biomonitoring/exposure_biomarker/hair_nail/pregnant_women,biomonitoring/exposure_biomarker/hair_nail/workers,biomonitoring/exposure_biomarker/mothers_milk,biomonitoring/exposure_biomarker/other,biomonitoring/exposure_biomarker/placenta,biomonitoring/exposure_biomarker/urine,biomonitoring/exposure_biomarker/urine/children,biomonitoring/exposure_biomarker/urine/pregnant_women,biomonitoring/exposure_biomarker/urine/workers,exposure_routes,exposure_routes/combined,exposure_routes/dermal_uptake,exposure_routes/dermal_uptake/children,exposure_routes/dermal_uptake/pregnant_women,exposure_routes/dermal_uptake/workers,exposure_routes/inhalation,exposure_routes/inhalation/modeled_exposure,exposure_routes/inhalation/modeled_exposure/children,exposure_routes/inhalation/modeled_exposure/pregnant_women,exposure_routes/inhalation/modeled_exposure/workers,exposure_routes/inhalation/other,exposure_routes/inhalation/other/children,exposure_routes/inhalation/other/pregnant_women,exposure_routes/inhalation/other/workers,exposure_routes/inhalation/personal_measurement,exposure_routes/inhalation/personal_measurement/children,exposure_routes/inhalation/personal_measurement/pregnant_women,exposure_routes/inhalation/personal_measurement/workers,exposure_routes/oral_intake,exposure_routes/oral_intake/drinking_water,exposure_routes/oral_intake/drinking_water/children,exposure_routes/oral_intake/drinking_water/pregnant_women,exposure_routes/oral_intake/dust,exposure_routes/oral_intake/dust/children,exposure_routes/oral_intake/dust/pregnant_women,exposure_routes/oral_intake/dust/workers,exposure_routes/oral_intake/food,exposure_routes/oral_intake/food/children,exposure_routes/oral_intake/food/pregnant_women,exposure_routes/oral_intake/products,exposure_routes/oral_intake/products/children,exposure_routes/oral_intake/products/pregnant_women,exposure_routes/oral_intake/soil,exposure_routes/oral_intake/soil/children,exposure_routes/oral_intake/soil/pregnant_women,exposure_routes/oral_intake/soil/workers,site_comparisons,site_comparisons/polluted_area,site_comparisons/workplace
"Several human studies have shown that low-level exposure to environmental contaminants , such as polychlorinated biphenyls ( PCBs ) and organochlorine pesticides , negatively influences birth outcomes .
However , the effects of low-level exposure to polychlorinated dibenzo-p-dioxins ( PCDDs ) , polychlorinated dibenzofurans ( PCDFs ) , and dioxin-like PCBs ( DL-PCBs ) on birth outcomes have not been clarified in human studies .
A prospective cohort study was established to investigate the possible adverse effects of PCDDs/PCDFs and DL-PCBs on fetal growth and neurodevelopment .
We recruited 514 pregnant women between July 2002 and October 2005 in Sapporo , Japan .
We measured 29 congener levels of PCDDs/PCDFs and DL-PCBs in maternal blood .
Using multiple liner regression analysis of the association between birth weight and the levels of PCDDs/PCDFs and DL-PCBs with full adjustments for potential confounders , a significant adverse effect was observed regarding total PCDDs toxic equivalents ( TEQ ) levels ( adjusted beta=-231.5g , 95% CI : -417.4 to -45.6 ) and total PCDFs TEQ levels ( adjusted beta=-258.8g , 95% CI : -445.7 to -71.8 ) .
Among male infants , significant adverse associations with birth weight were found for total PCDDs TEQ level , total PCDDs/PCDFs TEQ level , and total TEQ level .
However , among female infants , these significant adverse associations were not found .
With regard to individual congeners of PCDDs/PCDFs and DL-PCBs , we found significantly negative association with the levels of 2,3,4,7,8-PeCDF ( adjusted beta=-24.5g , 95% CI : -387.4 to -61.5 ) .
Our findings suggest that prenatal low-level exposure to PCDDs and PCDFs , especially 2,3,4,7,8-PeCDF , may accumulate in the placenta and retard important placental functions , which result in lower birth weight .",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In this study , the concentrations of 13 perfluorinated compounds ( PFCs ) ( PFBuS , PFHxS , PFOS , THPFOS , PFHxA , PFHpA , PFOA , PFNA , PFDA , PFUnDA , PFDoDA , PFTDA , and PFOSA ) were analyzed in municipal drinking water samples collected at 40 different locations from 5 different zones of Catalonia , Spain .
Detection limits ranged between 0.02 ( PFHxS ) and 0.85 ng/L ( PFOA ) .
The most frequent compounds were PFOS and PFHxS , which were detected in 35 and 31 samples , with maximum concentrations of 58.1 and 5.30 ng/L , respectively .
PFBuS , PFHxA , and PFOA were also frequently detected ( 29 , 27 , and 26 samples , respectively ) , with maximum levels of 69.4 , 8.55 , and 57.4 ng/L .
In contrast , PFDoDA and PFTDA could not be detected in any sample .
The most contaminated water samples were found in the Barcelona Province , whereas none of the analyzed PFCs could be detected in two samples ( Banyoles and Lleida ) , and only one PFC could be detected in four of the samples .
Assuming a human water consumption of 2 L/day , the maximum daily intake of PFOS and PFOA from municipal drinking water would be , for a subject of 70 kg of body weight , 1.7 and 1.6 ng/kg/day .
This is clearly lower than the respective Tolerable Daily Intake set by the European Food Safety Authority .
In all samples , PFOS and PFOA also showed lower levels than the short-term provisional health advisory limit for drinking water ( 200 ng PFOS/L and 400 ng PFOA/L ) set by the US Environmental Protection Agency .
Although PFOS and PFOA concentrations found in drinking water in Catalonia are not expected to pose human health risks , safety limits for exposure to the remaining PFCs are clearly necessary , as health-based drinking water concentration protective for lifetime exposure is set to 40 ng/L for PFOA .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triclosan is an antibacterial compound commonly used in cosmetics and personal care products for everyday use .
As previously shown , triclosan is found in the plasma , urine and milk from large parts of different human populations .
Recent studies have revealed that triclosan is able to activate the human pregnane X receptor in vitro and thus possibly affecting metabolism of drugs in humans via the induction of CYP3A4 .
Besides , triclosan has been shown to affect thyroid hormonal levels in rats in vivo .
In the present study , we investigated if an everyday exposure to triclosan via triclosan-containing toothpaste for 14 days in 12 adult humans caused an increase in plasma 4beta-hydroxycholesterol , indicative of CYP3A4 induction , and/or alterations in thyroid hormonal status .
The plasma triclosan concentrations increased from 0.009-0.81 ng/g to 26-296 ng/g ( ranges ) upon exposure .
Despite this , there were no significant changes in plasma levels of either plasma 4beta-hydroxycholesterol or thyroid hormones during the exposure .
This indicates that the normal use of triclosan-containing toothpaste is not likely to alter metabolism of drugs via CYP3A4 induction or cause adverse events because of thyroid disturbances in humans .",1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BACKGROUND Bayingnormen is a region located in western Inner Mongolia China , with a population that is exposed to a wide range of drinking water arsenic concentrations .
The relationship between maternal drinking water arsenic exposure and perinatal endpoints ( term birth weight , preterm birth , stillbirth and neonatal death ) in this region was evaluated in this study .
METHODS An analysis was conducted of all singleton deliveries in a defined geographical area of Inner Mongolia from December 1996 to December 1999 ( n=9890 ) .
Outcome and covariate data were abstracted from prenatal care records .
Exposure was based on well-water measures for the maternal subvillage .
Mean birth weight at term was compared across four arsenic categories using analysis of covariance .
ORs for stillbirth , preterm birth and neonatal death were estimated by logistic regression with arsenic exposure dichotomised at 50 microg/l .
RESULTS Term birth weight was 0.05 kg higher ( 95% CI 0.02 to 0.08 ) in the highest exposure category ( >100 microg/l ) compared to the reference ( below limit of detection to 20 microg/l ) .
Arsenic >50 microg/l was associated with an increased risk of neonatal death ( OR 2.01 , 95% CI 1.12 to 3.59 ) .
No relationship was found between maternal arsenic exposure and preterm or stillbirth delivery .
CONCLUSIONS At the levels observed in our study , arsenic does not appear to contribute to adverse birth outcomes .
Exposure may play a role in neonatal death ; however , the neonatal death rate in this population was low and this potential association merits further research .",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perfluorinated compounds ( PFCs ) have been detected in humans worldwide and are of health concern .
This study measured the concentration of PFCs in composite samples collected for the 1998 Health Canada Total Diet Study and estimated dietary exposure for the Canadian population ( older than 12 years of age ) using previously collected dietary data ( n = 1721 ) .
PFCs were detected in 8 samples including processed meats , preprepared foods , and peppers with a range of concentrations from 0.48 to 5.01 ng g(-1) ( wet weight). 6:2 fluorotelomer unsaturated carboxylate ( FTUCA ) was detected in cold cuts at a concentration of 1.26 ng g(-1) .
Mean daily PFC exposure estimates ranged from 1.5 to 2.5 ng ( kg of body weight)(-1 ) .
Perfluorinated carboxylates ( PFCA C(7)-C(11) ) contributed more to PFC exposure than either perfluorooctane sulfonate ( PFOS ) or FTUCA .
Total PFCAs in cakes and cookies , lunchmeats , and green vegetables were the main contributors to dietary exposure , although these exposure levels were below the provisional tolerable daily intake provided by the German Drinking Water Commission .
Dietary exposure to total PFCs has not changed over time , although the contribution of PFOS to total PFC exposure may have increased between 1998 and 2004 .
Further research on the sources of contamination of processed and preprepared foods is required .
Dietary exposure to PFCs among Canadians poses minimal health risks based on current toxicological information .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The impact of the US EPA-required phase-outs starting in 2000-2001 of residential uses of the organophosphate ( OP ) pesticides chlorpyrifos ( CPF ) and diazinon ( DZN ) on preschool children's pesticide exposures was investigated over 2003-2005 , in the Raleigh-Durham-Chapel Hill area of North Carolina .
Data were collected from 50 homes , each with a child initially of age 3 years ( OCh ) and a younger child ( YCh ) .
Environmental samples ( indoor and outdoor air , dust , soil ) and child-specific samples ( hand surface residue , urine , diet ) were collected annually over 24-h periods at each home .
Child time-activity diaries and household pesticide use information were also collected .
Analytes included CPF and DZN ; pentachlorophenol ( PCP ) ; 2,4-dichlorophenoxyacetic acid ( 2,4-D ) ; the CPF metabolite 3,5,6-trichloro-2-pyridinol ( TCP ) ; and the DZN metabolite 2-isopropyl-6-methyl-4-pyrimidinol ( IMP ) .
Exposures ( ng/day ) through the inhalation , dietary ingestion , and indirect ingestion were calculated .
Aggregate potential doses in ng/kg body weight per day ( ng/kg/day ) were obtained by summing the potential doses through the three routes of exposure .
Geometric mean aggregate potential doses decreased from 2003 to 2005 for both OCh and YCh , with the exception of 2,4-D .
Child-specific longitudinal modeling indicated significant declines across time of the potential doses of CPF , DZN , and PCP for both children ; declines of IMP for both children , significant only for OCh ; a decline of TCP for OCh but an increase of TCP for YCh ; and no significant change of 2,4-D for either child .
Age-adjusted modeling indicated significant effects of the child's age for all except CPF , and of time for all except PCP and 2,4-D .
Within-home variability was small compared with that between homes ; variability was smallest for 2,4-D , both within and between homes .
The aggregate potential doses of CPF and DZN were well below published reference dose values .
These findings show the success of the US EPA restrictions in reducing young children's pesticide exposures .",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
"To scrutinize whether the provisional tolerable weekly intake ( PTWI , 3.4 microg/kg body weight/week ) of methylmercury in Japan is safe for adults , we conducted an intervention study using heart rate variability ( HRV ) that has been considered to reflect cardiac events .
Fifty-four healthy volunteers were recruited and divided into experimental and control groups .
The experimental group was exposed to methylmercury at the PTWI level through consumption of bigeye tuna and swordfish for 14 weeks , and HRV parameters were compared between the two groups .
In the experimental group , mean hair mercury levels , determined before and after the dietary methylmercury exposure and after 15-week wash-out period following the cessation of exposure , were 2.30 , 8.76 and 4.90 microg/g , respectively .
The sympathovagal balance index of HRV was significantly elevated after the exposure , and decreased to the baseline level at the end of this study .
Still , such changes in HRV parameters were not found in the control group with a mean hair mercury level of around 2.1 microg/g .
In conclusion , the PTWI does not appear to be safe for adult health , because methylmercury exposure from fish consumption induced a temporary sympathodominant state .
Rather , long-term exposure to methylmercury may pose a potential risk for cardiac events involving sympathovagal imbalance among fish-consuming populations .",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BACKGROUND Some studies suggest that high levels of blood and hair mercury ( Hg ) increase the risk of atherothrombotic diseases , an effect that may be explained by oxidative damage to the vascular endothelium .
OBJECTIVES We tested whether high Hg levels impair the vasodilating function of the vascular endothelium or increase blood pressure .
METHODS We measured the association between high blood and hair Hg and brachial artery flow mediated vasodilation ( FMD% ) , middle cerebral artery reactivity to CO2 ( MCAR% ) and hypertensive status in 101 participants in the Wisconsin Sleep Cohort Study ( mean age of 59.4 years ; 52.5% male ) .
Whole blood total Hg and hair total Hg were tested using inductively coupled plasma mass spectrometry and cold vapor atomic fluorescence spectrometry , respectively .
RESULTS Geometric mean blood and hair Hg were 1.16 microg/L and 270.1 ng/g .
Blood and hair Hg were not significantly associated with FMD% and MCAR% .
However , after adjustment for other risk factors , people in the upper quartile of blood Hg were 1.9 times ( P=0.23 ) more likely to be hypertensive and those in the upper quartile of hair Hg were more than 4 times more likely ( P=0.02 ) .
CONCLUSION High hair and blood Hg levels do not seem to influence vascular reactivity , but may increase the risk of hypertension .",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACKGROUND Environmental prenatal exposure to potentially neurotoxic metals poses a particular challenge with regard to the study of early toxic effects .
Monoamine oxidase activity , shown to be influenced by metals in experimental studies , could be a useful biomarker in humans .
OBJECTIVE To examine the relationship between blood metal concentrations at delivery and placenta MAO activity .
METHODS The study was performed in 163 pregnancies .
Maternal and cord blood samples were obtained for manganese ( Mn ) , lead ( Pb ) , and cadmium ( Cd ) determination .
Mercury ( Hg ) was also analysed in maternal hair .
Placental samples were stored immediately after expulsion and total MAO activity was measured .
RESULTS MAO activity was significantly positively correlated with maternal and cord blood Mn concentrations in subjects with high MAO activity .
In subjects with low MAO activity , maternal hair Hg was negatively correlated with MAO .
CONCLUSION Our results suggest the use of placental MAO as a potential surrogate marker of Mn toxicity in the newborn and its correlation with psychomotor development should be further investigated .",1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farmworkers ' children may have increased pesticide exposure through dermal absorption and non-dietary ingestion , routes that are difficult to measure and model .
The Cumulative Aggregate Simulation of Exposure ( CASE ) model , integrates the complexity of human behavior and variability of exposure processes by combining micro-level activity time series ( MLATS ) and mechanistic exposure equations .
CASE was used to estimate residential non-dietary organophosphate pesticide exposure ( i.e. , inhalation , dermal , and non-dietary ingestion ) to California farmworker children and evaluate the micro-activity approach .
MLATS collected from children and distributions developed from pesticide measurements in farmworkers ' residences served as inputs .
While estimated diazinon exposure was greater for inhalation , chlorpyrifos exposure was greater for the other routes .
Greater variability existed between children ( sigma(B)(2)=0.22-0.39 ) than within each child's simulations ( sigma(W)(2)=0.01-0.02 ) for dermal and non-dietary ingestion .
Dermal exposure simulations were not significantly different than measured values from dosimeters worn by the children .
Non-dietary ingestion exposure estimates were comparable to duplicate diet measurements , indicating this route may contribute substantially to aggregate exposure .
The results suggest the importance of the micro-activity approach for estimating non-dietary exposure .
Other methods may underestimate exposure via these routes .
Model simulations can be used to identify at-risk children and target intervention strategies .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACKGROUND Arsenic exposure in drinking water disproportionately affects small communities in some U.S. regions , including American Indian communities .
In U.S. adults with no seafood intake , median total urine arsenic is 3.4 microg/L .
OBJECTIVE We evaluated arsenic exposure and excretion patterns using urine samples collected over 10 years in a random sample of American Indians from Arizona , Oklahoma , and North and South Dakota who participated in a cohort study from 1989 to 1999 .
METHODS We measured total urine arsenic and arsenic species [ inorganic arsenic ( arsenite and arsenate ) , methylarsonate ( MA ) , dimethylarsinate ( DMA ) , and arsenobetaine ] concentrations in 60 participants ( three urine samples each , for a total of 180 urine samples ) using inductively coupled plasma/mass spectrometry ( ICPMS ) and high-performance liquid chromatography/ICPMS , respectively .
RESULTS Median ( 10th , 90th percentiles ) urine concentration for the sum of inorganic arsenic , MA , and DMA at baseline was 7.2 ( 3.1 , 16.9 ) microg/g creatinine ; the median was higher in Arizona ( 12.5 microg/g ) , intermediate in the Dakotas ( 9.1 microg/g ) , and lower in Oklahoma ( 4.4 microg/g ) .
The mean percentage distribution of arsenic species over the sum of inorganic and methylated species was 10.6% for inorganic arsenic , 18.4% for MA , and 70.9% for DMA .
The intraclass correlation coefficient for three repeated arsenic measurements over a 10-year period was 0.80 for the sum of inorganic and methylated species and 0.64 , 0.80 , and 0.77 for percent inorganic arsenic , percent MA , and percent DMA , respectively .
CONCLUSIONS This study found low to moderate inorganic arsenic exposure and confirmed long-term constancy in arsenic exposure and urine excretion patterns in American Indians from three U.S. regions over a 10-year period .
Our findings support the feasibility of analyzing arsenic species in large population-based studies with stored urine samples .",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total and methylmercury concentrations were assessed in muscle and liver of 141 fish samples from the northern part of the Persian Gulf .
All fish samples belonged to five different species : grunt , flathead , greasy grouper , tiger-tooth croaker , and silver pomfret .
In addition , Hg and methylmercury were analyzed in scalp hair of 19 fishermen living in the same coastal stations of the Persian Gulf and consuming several fish meals a week .
Total mercury concentrations in fish muscle and liver ranged from 0.01 to 1.35 microg g(-1) w.w. and from 0.02 to 1.30 microg g(-1) w.w. , respectively .
In fish muscle , 3% of the Hg concentrations were higher than 0.5 microg g(-1) w.w. , which corresponds to the maximum acceptable WHO level , while 9% were in the range of polluted fish ( between 0.3 and 0.5 microg g(-1) w.w. ) .
The highest mercury concentrations in fish muscle were observed in flathead fish at Abadan ( average of 0.68 microg g(-1) w.w. ) .
Methylmercury fractions in fish muscle and liver amount to 34-99% ( median 64% ) and 24-70% ( median 43% ) , respectively .
The mean total Hg concentration in the fishermen's scalp hair amounted to 2.9 +/- 2.2 microg g(-1) , with 68% in the form of methylmercury .
Ninety-five percent of the Hg levels in the fishermen's hair were below 10 microg g(-1) , which is the WHO warning limit .
In addition , relationships between the mercury levels in hair , on the one hand , and exposure-related factors such as Hg levels in specific fish species , regional differences , and number of fish meals , on the other hand , are discussed .
It appears that a significant correlation for example exists between Hg levels human hair and fish muscle or human hair and age and that mean mercury levels in fish muscle and human hair decreased from western ( Abadan ) to eastern ( Abbas port ) coastal sites .",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"We reported increased rates of childhood asthma and worsening of preexisting asthma in Chinatown near the World Trade Center ( WTC ) after September 11 , 2001 .
This conclusion was corroborated by the WTC Health Registry in 2003 , which showed asthma prevalence in children <5 years old was higher than national estimates .
In 2002 , ethnic Chinese in New York City ( NYC ) , based on 2000 U.S. Census addresses , were reported to have the lowest levels of asthma compared with other ethnic NYC neighborhoods .
This study was designed to determine if Chinatown asthma rates are still higher than other ethnic neighborhoods and if rates decreased since 2003 .
We surveyed 353 parents of children at a Chinatown elementary school , conducted spirometry on 202 students , measured air pollution ( PM2.5 ) , and sampled dust from the floor of the school during 2008 for concentrations of dust-mite antigens , cat , rat , mouse , and cockroach .
Asthma rates of 14.4% were reported in children who refused spirometry if they lived <1 mi from the WTC .
The rate was 4.9% if they lived farther away .
Twenty-nine percent of all students ( 4-12 years old ) who had spirometry showed a forced expiratory volume at 1 second ( FEV(1) ) of <80% predicted normal .
Among children who were alive in 2001 , 17.4% had an FEV(1) of < or = 75% predicted .
The concentration of PM2.5 reached a high level of 40 microg/m(3) .
Indoor aeroallergen concentrations were negligible .
Chinatown asthma rates are still higher than among other groups ( 29% versus the NYC reference rate of 13% ) .
High air pollution levels may account for increased asthma incidence .
It is possible that exposure to toxins on September 11 , 2001 accentuated the effect of subsequent exposure to air pollution .",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This study investigates mercury , lead , copper , and zinc concentrations in six most frequently consumed fish species ( 120 samples ) , sediments ( 20 samples ) taken from Karaduvar Fishing Area where fish species live , and Mersin Port as a contrary region , and human scalp hair for people regularly consuming these fish species ( 50 samples ) and non-fish-eaters ( 15 samples ) in Mersin , Turkey .
On taking living environment into account , the fish groups include pelagic species of Liza saliens , Liza aurata , and demersal species of Merluccius merluccius , Mullus barbatus , Upeneus moluccensis , and Solea solea .
Total Hg ( THg ) was found to accumulate in muscle tissues at the lowest concentration ( 0.01 microg/g ) in L. saliens and at the highest ( 2.66 microg/g ) in S. solea .
Pb was only detected at high concentrations of 1.86 microg/g in M. barbatus and of 2.16 microg/g in M. merluccius .
Cu and Zn concentrations were below the detection limit within all fish species .
In the sediment samples , Pb and Cu concentrations were persistently below their effect range-median ( ERM ) value , whereas this limiting value only maintained for 15% of THg concentrations .
On the other hand , the effect range-low ( ERL ) of sediment exceeded at Pb in 15% of samples and Cu in 25% of samples .
Zn remained below the detection limit for sediment samples .
The metal concentrations at scalp hairs of regular consumers of these fish groups and non-fish eaters vary from the range 0.40-3.28 to 0.14-1.02 microg/g for THg , 11.16-107.84 to 8.00-22.38 microg/g for Pb , and 151.67-645.35 to 144.92-343.50 microg/g for Zn .
An important finding of the present study is the significant adverse impact of sedimentary heavy metal bioaccumulation to human through the consumption of demersal fishes in the city of Mersin along the southern coast of Turkey .",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Prior to this study , reports of occurrence of polycyclic musks and polychlorinated naphthalenes ( PCNs ) in human tissues from Italy were not available .
In this study , concentrations of PCNs and polycyclic musks were determined in human adipose tissue from Italy collected during 2005-2006 ; for comparison , legacy organohalogen pollutants such as organochlorine pesticides ( OCPs ) , polychlorinated biphenyls ( PCBs ) , and polybrominated diphenyl ethers ( PBDEs ) were determined .
SigmaPCN concentrations ranged from 0.5 to 14 ng/g lipid wt ( lw ) .
Polycyclic musks such as HHCB and AHTN were found in 92% and 83% of the human samples , respectively .
Concentrations of PBDEs in Italian adipose tissue ranged between 3.2 and 35.6 ng/g lw .",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACKGROUND Arsenic is a potent human carcinogen and toxicant .
Elevated concentration of arsenic in drinking water is a major public-health problem worldwide .
We evaluated risks of adult mortality ( due to cancer and cardiovascular and infectious diseases ) in relation to arsenic exposure through drinking water .
METHODS A cohort analysis was applied to survival data prospectively collected during 1991-2000 in a health and demographic surveillance system in Matlab , Bangladesh , where tubewells were installed beginning in the early 1970s .
A total of 115,903 persons aged 15 or more years on 1 January 1991 were available for analysis .
In this period , 9015 people died and 22,488 were lost to follow-up .
Arsenic exposure data were derived from a survey in 2002-2003 of past and current water use and arsenic concentrations in all tubewells .
We estimated risk of excess mortality in relation to arsenic exposure , using proportional hazards models .
RESULTS Even at low levels ( 10-49 mug/L ) of arsenic in drinking water , we observed increased risk of death due to all nonaccidental causes ( hazard ratio = 1.16 [ 95% confidence interval = 1.06-1.26] ) .
Increased risks at exposure of 50-149 microg/L were observed for death due to cancers ( 1.44 [ 1.06-1.95] ) , cardiovascular disease ( 1.16 [ 0.96-1.40] ) , and infectious diseases ( 1.30 [ 1.13-1.49] ) .
We observed clear dose-response relationships for each of these causes .
CONCLUSIONS Arsenic exposure through drinking water has generated excess adult mortality after 20-30 years of exposure .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
